entity1,relation,entity2
twist verb,hypernym,turn verb
male offspring noun,hypernym,male noun
ostracize verb,derivationally related form,ostracism noun
flour noun,hypernym,foodstuff noun
checker noun,synset domain topic of,checkers noun
real presence noun,hypernym,religious doctrine noun
net verb,derivationally related form,net income noun
basin noun,hypernym,natural depression noun
railway noun,derivationally related form,railroad verb
barbarize verb,hypernym,change verb
golf-club head noun,has part,heel noun
tons noun,hypernym,large indefinite quantity noun
scintillate verb,hypernym,emit verb
gem noun,hypernym,crystal noun
nonindulgent adjective,derivationally related form,austerity noun
symphysion noun,hypernym,craniometric point noun
stonewall verb,hypernym,obstruct verb
calixtus iii noun,instance hypernym,pope noun
gradate verb,derivationally related form,gradation noun
slant verb,hypernym,bias verb
synecdoche noun,member of domain usage,hearth noun
centime noun,hypernym,fractional monetary unit noun
female adjective,derivationally related form,femaleness noun
unhorse verb,hypernym,descend verb
menurae noun,hypernym,animal order noun
substitute verb,derivationally related form,deputy noun
sinhalese noun,hypernym,asian noun
couple noun,hypernym,unit noun
pipe noun,hypernym,wind instrument noun
ensis noun,hypernym,mollusk genus noun
rasp verb,hypernym,abrade verb
postulation noun,hypernym,declaration noun
revolver noun,hypernym,pistol noun
aves noun,member meronym,sphenisciformes noun
glider noun,hypernym,heavier-than-air craft noun
drudge noun,derivationally related form,labor verb
executive officer noun,synset domain topic of,military noun
egeria noun,hypernym,monocot genus noun
bitis noun,hypernym,reptile genus noun
water snake noun,hypernym,colubrid snake noun
business suit noun,hypernym,suit noun
taste noun,hypernym,sensation noun
inland revenue noun,hypernym,administrative unit noun
executant noun,hypernym,performer noun
flour beetle noun,hypernym,darkling beetle noun
sporozoa noun,hypernym,class noun
resource noun,hypernym,assets noun
ficus noun,hypernym,dicot genus noun
categorize verb,hypernym,reason verb
squatina noun,hypernym,fish genus noun
acuminate verb,hypernym,sharpen verb
penstemon noun,member meronym,rock penstemon noun
outfitter noun,derivationally related form,equip verb
voter noun,derivationally related form,elect verb
foul verb,derivationally related form,macule noun
propagate verb,hypernym,travel verb
washington noun,has part,white house noun
spin verb,hypernym,revolve verb
clopidogrel bisulfate noun,hypernym,medicine noun
surveyor noun,derivationally related form,survey verb
look verb,derivationally related form,spirit noun
genus daphne noun,hypernym,dicot genus noun
camelidae noun,member meronym,vicugna noun
obedient adjective,also see,submissive adjective
barbeque verb,hypernym,grill verb
stick noun,hypernym,margarine noun
probate noun,synset domain topic of,law noun
arkansas noun,has part,white noun
illinois noun,has part,rockford noun
want verb,derivationally related form,wanter noun
salt verb,derivationally related form,salt noun
blend noun,derivationally related form,blend verb
endoskeleton noun,has part,arm bone noun
denationalize verb,hypernym,change verb
liquid noun,derivationally related form,liquid adjective
dispersion noun,hypernym,spread noun
black medick noun,hypernym,medic noun
wrong adjective,also see,improper adjective
ranunculaceae noun,member meronym,coptis noun
clutch noun,hypernym,coupling noun
agribusiness noun,hypernym,commercial enterprise noun
temporal arrangement noun,hypernym,temporal property noun
depart verb,derivationally related form,takeoff noun
genus maxillaria noun,hypernym,monocot genus noun
compositae noun,member meronym,nabalus noun
photograph noun,derivationally related form,photography noun
stooge verb,hypernym,act verb
populus noun,hypernym,hamamelid dicot genus noun
worst verb,derivationally related form,thrashing noun
over the counter stock noun,hypernym,unlisted security noun
introversion noun,hypernym,unsociability noun
fall verb,hypernym,leave office verb
charge noun,hypernym,attack noun
loaf noun,hypernym,food noun
polemoniales noun,member meronym,lentibulariaceae noun
firecracker noun,hypernym,firework noun
parse verb,hypernym,analyze verb
issue noun,derivationally related form,issue verb
run verb,hypernym,move verb
quiz verb,derivationally related form,examination noun
rehearse verb,hypernym,perform verb
denote verb,hypernym,designate verb
glut noun,derivationally related form,flood verb
ape verb,derivationally related form,copycat noun
fourteenth amendment noun,synset domain topic of,law noun
razing noun,hypernym,destruction noun
profit noun,derivationally related form,profit verb
common unicorn plant noun,hypernym,herb noun
bicycle noun,has part,bicycle wheel noun
imipramine noun,hypernym,tricyclic noun
military academy noun,synset domain topic of,military noun
node noun,synset domain topic of,botany noun
effort noun,hypernym,labor noun
erecting noun,derivationally related form,raise verb
duel noun,derivationally related form,dueler noun
porifera noun,member meronym,sponge noun
home-farm noun,hypernym,farm noun
belonidae noun,member meronym,needlefish noun
settle verb,derivationally related form,colony noun
dysphoria noun,hypernym,depression noun
inquisitor noun,derivationally related form,interrogate verb
animal order noun,hypernym,order noun
raise verb,also see,pick up verb
discipline noun,derivationally related form,learn verb
shoulder noun,has part,teres noun
lay verb,also see,save verb
manipulate verb,hypernym,influence verb
sluice verb,hypernym,pour verb
flow noun,hypernym,natural process noun
symphytum noun,member meronym,comfrey noun
calvinist noun,derivationally related form,calvinism noun
abhor verb,derivationally related form,abhorrer noun
conform verb,derivationally related form,conformity noun
reviewer noun,derivationally related form,refer verb
signer noun,derivationally related form,sign verb
flow noun,hypernym,motion noun
gymnospermae noun,hypernym,class noun
winnow noun,hypernym,separation noun
andromeda noun,hypernym,shrub noun
panelist noun,derivationally related form,jury noun
spread-eagle verb,hypernym,beat verb
testimony noun,hypernym,evidence noun
light verb,derivationally related form,light noun
affiliate verb,derivationally related form,affiliation noun
syncretize verb,hypernym,blend verb
pepper verb,synset domain topic of,cooking noun
explication noun,derivationally related form,explain verb
destructible adjective,derivationally related form,destroy verb
dissipation noun,hypernym,dispersion noun
ruin verb,hypernym,thwart verb
taoism noun,derivationally related form,taoist noun
screw verb,hypernym,revolve verb
distinct adjective,also see,precise adjective
refine verb,derivationally related form,refiner noun
release noun,derivationally related form,waive verb
fatten verb,derivationally related form,adipose tissue noun
telecommunication noun,synset domain topic of,telecommunication noun
motor noun,hypernym,machine noun
plug verb,hypernym,insert verb
convene verb,hypernym,meet verb
caesalpinioideae noun,member meronym,genus senna noun
spiral noun,hypernym,curve noun
young adjective,also see,junior adjective
tint verb,derivationally related form,tinting noun
scruple noun,derivationally related form,misgive verb
national service noun,synset domain topic of,military noun
personification noun,derivationally related form,body verb
read verb,derivationally related form,recitation noun
buffer noun,hypernym,compound noun
reflux noun,hypernym,pathology noun
survey verb,derivationally related form,surveyor noun
gloss verb,derivationally related form,gloss noun
drive verb,derivationally related form,motor noun
witch elm noun,hypernym,elm noun
suffer verb,derivationally related form,suffering noun
syllogism noun,hypernym,deduction noun
unrefined adjective,derivationally related form,crudeness noun
emit verb,derivationally related form,emitter noun
sealant noun,hypernym,sealing material noun
syria noun,has part,euphrates noun
slump noun,derivationally related form,slip verb
trematoda noun,member meronym,helminth noun
proclaim verb,hypernym,entitle verb
vascular system noun,hypernym,system noun
load noun,hypernym,weight noun
nematoda noun,member meronym,dracunculidae noun
discipline noun,hypernym,punishment noun
adaptive adjective,derivationally related form,adapt verb
corticium noun,hypernym,fungus genus noun
mescaline noun,hypernym,hallucinogen noun
tiliaceae noun,hypernym,dilleniid dicot family noun
release noun,derivationally related form,release verb
parasite noun,hypernym,organism noun
dram noun,hypernym,apothecaries' unit noun
scheme noun,hypernym,plan of action noun
eutheria noun,member meronym,artiodactyla noun
breeze noun,hypernym,wind noun
calculation noun,derivationally related form,computational adjective
thunnus noun,member meronym,tuna noun
grove noun,hypernym,garden noun
cauterize verb,hypernym,treat verb
sleep verb,derivationally related form,kip noun
hammerhead noun,hypernym,shark noun
melastomataceae noun,member meronym,medinilla noun
farewell noun,derivationally related form,separate verb
twinkle noun,derivationally related form,scintillate verb
horn verb,derivationally related form,ivory noun
film noun,synset domain topic of,commercial enterprise noun
muscle noun,hypernym,animal tissue noun
bluejacket noun,derivationally related form,sail verb
sneak verb,derivationally related form,crawler noun
screen verb,derivationally related form,screening noun
member bank noun,hypernym,depository financial institution noun
dysphemism noun,hypernym,saying noun
voice noun,synset domain topic of,linguistics noun
slovakia noun,instance hypernym,european country noun
direct verb,hypernym,make verb
suppressor noun,derivationally related form,oppress verb
film verb,derivationally related form,film noun
germanium noun,hypernym,chemical element noun
enter verb,derivationally related form,engagement noun
pholiota noun,hypernym,fungus genus noun
minor tranquilizer noun,derivationally related form,anxiolytic adjective
include verb,hypernym,see verb
suffer verb,hypernym,feel verb
selfishness noun,derivationally related form,selfish adjective
central american noun,hypernym,north american noun
ovary noun,synset domain topic of,vertebrate noun
dreissena noun,hypernym,mollusk genus noun
astronomer noun,synset domain topic of,astronomy noun
malvaceae noun,member meronym,kosteletzya noun
write-off noun,hypernym,depreciation noun
revel verb,derivationally related form,racket noun
memory noun,derivationally related form,remember verb
north wind noun,hypernym,wind noun
infirmity noun,derivationally related form,enfeeble verb
short-circuit verb,hypernym,thwart verb
polystichum noun,hypernym,fern genus noun
selenicereus noun,hypernym,caryophylloid dicot genus noun
implant verb,derivationally related form,planting noun
michelangelo noun,instance hypernym,architect noun
crystallization noun,derivationally related form,crystallize verb
caprimulgidae noun,member meronym,caprimulgus noun
heterosomata noun,member meronym,flatfish noun
pouched mole noun,hypernym,marsupial noun
lebanon noun,has part,sayda noun
lamium noun,member meronym,dead nettle noun
hawaii noun,member of domain region,uke noun
fossilize verb,hypernym,convert verb
review verb,derivationally related form,survey noun
development noun,derivationally related form,evolve verb
murre noun,hypernym,guillemot noun
subtitle noun,derivationally related form,subtitle verb
releasing hormone noun,hypernym,hormone noun
come around verb,hypernym,happen verb
cecropiaceae noun,member meronym,cecropia noun
oxidize verb,hypernym,change verb
equilibrate verb,derivationally related form,balance noun
eat verb,derivationally related form,eating noun
choking noun,derivationally related form,suffocate verb
ben sira noun,instance hypernym,book noun
sequence noun,hypernym,temporal arrangement noun
pittsburgh noun,instance hypernym,city noun
pseudotsuga noun,hypernym,gymnosperm genus noun
vaticinate verb,derivationally related form,prophet noun
boffin noun,hypernym,research worker noun
archosauria noun,member meronym,ichthyosauria noun
false vocal cord noun,hypernym,vocal cord noun
ignore verb,derivationally related form,snub noun
celtic noun,hypernym,indo-european noun
serranidae noun,hypernym,fish family noun
united states constitution noun,has part,fourteenth amendment noun
relay verb,hypernym,communicate verb
mythical being noun,hypernym,imaginary being noun
central intelligence agency noun,has part,nonproliferation center noun
camber verb,derivationally related form,bank noun
cut verb,hypernym,separate verb
propitiate verb,derivationally related form,appeaser noun
doorway noun,has part,casing noun
closer noun,synset domain topic of,baseball noun
shoot verb,hypernym,kill verb
coquette noun,derivationally related form,tease verb
belle noun,hypernym,girl noun
cordaitaceae noun,hypernym,gymnosperm family noun
coleoptera noun,member meronym,anobiidae noun
dawn verb,derivationally related form,dawn noun
raphanus noun,hypernym,dilleniid dicot genus noun
alveolar ridge noun,has part,alveolar artery noun
interpretation noun,derivationally related form,interpret verb
grandma noun,hypernym,grandparent noun
dry verb,derivationally related form,dryer noun
long-clawed prawn noun,hypernym,prawn noun
middle east noun,has part,syria noun
seize verb,hypernym,take verb
stipulation noun,hypernym,restriction noun
bunch noun,derivationally related form,bunch together verb
cooking utensil noun,hypernym,kitchen utensil noun
compression noun,derivationally related form,compress verb
fa la noun,hypernym,nonsense noun
disgustingness noun,hypernym,unpalatability noun
california noun,has part,san diego noun
alehouse noun,hypernym,public house noun
flight deck noun,hypernym,deck noun
pollack noun,hypernym,gadoid noun
human adjective,derivationally related form,homo noun
help verb,derivationally related form,aid noun
protect verb,derivationally related form,defender noun
thump noun,derivationally related form,crump verb
vedalia noun,hypernym,ladybug noun
incline verb,hypernym,lower verb
chelidonium noun,member meronym,celandine noun
patch verb,derivationally related form,patching noun
nonconformity noun,hypernym,unorthodoxy noun
malingerer noun,derivationally related form,feign verb
varna noun,synset domain topic of,hinduism noun
oriolus noun,hypernym,bird genus noun
cambodian noun,hypernym,asian noun
united kingdom noun,member of domain region,high commission noun
ball noun,hypernym,dance noun
notice noun,hypernym,announcement noun
citrus noun,hypernym,fruit tree noun
diss verb,hypernym,hurt verb
cannaceae noun,hypernym,monocot family noun
accumulate verb,derivationally related form,accumulation noun
eradication noun,derivationally related form,kill verb
filefish noun,hypernym,plectognath noun
personal computer noun,has part,pc board noun
filibuster noun,synset domain topic of,law noun
chastity noun,derivationally related form,chaste satellite adjective
peddle verb,derivationally related form,sales talk noun
immobilize verb,derivationally related form,immobilization noun
process noun,hypernym,cognition noun
creation noun,derivationally related form,create verb
orchidaceae noun,member meronym,genus vanilla noun
custard apple noun,hypernym,fruit tree noun
indic noun,hypernym,indo-iranian noun
carline thistle noun,hypernym,thistle noun
merchant noun,derivationally related form,trade verb
salmo noun,hypernym,fish genus noun
news agency noun,hypernym,agency noun
hush noun,derivationally related form,hush verb
crested myna noun,hypernym,myna noun
dryopteridaceae noun,member meronym,olfersia noun
giraffidae noun,member meronym,giraffa noun
antagonism noun,synset domain topic of,biochemistry noun
ulvales noun,member meronym,ulvaceae noun
reprobate noun,hypernym,wrongdoer noun
president of the united states noun,derivationally related form,presidency noun
diameter noun,has part,radius noun
white dipladenia noun,hypernym,liana noun
butterweed noun,hypernym,wildflower noun
doorbell noun,derivationally related form,buzz verb
spain noun,has part,sevilla noun
waste verb,derivationally related form,bonyness noun
downy mildew noun,hypernym,mildew noun
crackdown noun,derivationally related form,clamp down verb
design verb,derivationally related form,couturier noun
act verb,derivationally related form,actor noun
scotland noun,has part,cumbria noun
check verb,derivationally related form,idiot noun
legality noun,hypernym,lawfulness noun
refute verb,hypernym,disprove verb
conflict noun,derivationally related form,battle verb
choke verb,hypernym,breathe verb
husband noun,hypernym,spouse noun
clinidae noun,hypernym,fish family noun
dactylorhiza noun,member meronym,common spotted orchid noun
chestnut oak noun,hypernym,oak noun
pteridaceae noun,member meronym,cheilanthes noun
richness noun,derivationally related form,rich adjective
legislatorship noun,derivationally related form,legislator noun
nuclear terrorism noun,hypernym,terrorism noun
south america noun,hypernym,collection noun
gather verb,derivationally related form,gather noun
risk noun,derivationally related form,gamble verb
lower berth noun,derivationally related form,lower verb
gluttonize verb,derivationally related form,glutton noun
narrator noun,derivationally related form,tell verb
sweater noun,has part,neckline noun
acetophenetidin noun,hypernym,analgesic noun
ugliness noun,hypernym,appearance noun
bedbug noun,hypernym,hemipterous insect noun
holocephali noun,member meronym,holocephalan noun
headache noun,hypernym,ache noun
psoralea noun,hypernym,rosid dicot genus noun
build up verb,verb group,build verb
macropodidae noun,hypernym,mammal family noun
geoffroea noun,member meronym,chanar noun
inhale verb,derivationally related form,respirator noun
elation noun,derivationally related form,elate verb
victimize verb,derivationally related form,victim noun
expression noun,derivationally related form,look verb
domestic fowl noun,has part,poultry noun
edible adjective,also see,digestible adjective
trade name noun,member of domain usage,tolmetin sodium noun
aphididae noun,member meronym,aphis noun
codpiece noun,hypernym,flap noun
genus doodia noun,hypernym,fern genus noun
songbird noun,derivationally related form,birdcall noun
avocado noun,hypernym,fruit tree noun
bobbin noun,derivationally related form,spool verb
teaberry noun,has part,wintergreen noun
mimosoideae noun,member meronym,adenanthera noun
measles noun,hypernym,contagious disease noun
sailplane verb,hypernym,glide verb
quality noun,derivationally related form,qualify verb
face noun,has part,feature noun
mauser noun,instance hypernym,inventor noun
respect noun,derivationally related form,involve verb
trailer noun,hypernym,conveyance noun
trojan noun,hypernym,asian noun
weight-lift verb,hypernym,exercise verb
cybernate verb,hypernym,work verb
viverricula noun,hypernym,mammal genus noun
rhamnaceae noun,member meronym,ziziphus noun
marasmius noun,hypernym,fungus genus noun
united kingdom noun,member of domain usage,grandma noun
rallidae noun,member meronym,porzana noun
remembrance day noun,hypernym,holiday noun
barrel noun,has part,gallon noun
augustine noun,instance hypernym,doctor of the church noun
united kingdom noun,member of domain region,water-rate noun
kidnap verb,derivationally related form,kidnapping noun
hedge verb,derivationally related form,hedger noun
right to vote noun,derivationally related form,suffragette noun
last mile noun,hypernym,walk noun
stress verb,hypernym,express verb
quarter noun,synset domain topic of,football noun
carnivora noun,hypernym,animal order noun
dakota noun,has part,north dakota noun
department of energy intelligence noun,hypernym,agency noun
evaporate verb,derivationally related form,vaporization noun
papilionoideae noun,member meronym,desmanthus noun
titivation noun,hypernym,decoration noun
class cyanobacteria noun,hypernym,class noun
waltz verb,hypernym,dance verb
communication system noun,has part,television station noun
striate verb,derivationally related form,band noun
american standard code for information interchange noun,hypernym,code noun
shape noun,derivationally related form,contour verb
compass noun,derivationally related form,compass verb
drivel verb,derivationally related form,drool noun
sao bernardo do campo noun,instance hypernym,city noun
cheat verb,derivationally related form,trickery noun
qualification noun,derivationally related form,stipulate verb
smash verb,verb group,smash verb
crash verb,hypernym,fail verb
air travel noun,hypernym,travel noun
bengali noun,hypernym,asian noun
confinement noun,hypernym,subjugation noun
flap verb,hypernym,beat verb
bracer noun,derivationally related form,stimulate verb
allowance noun,derivationally related form,allow verb
citation form noun,hypernym,form noun
department of the treasury noun,has part,bureau of customs noun
understatement noun,derivationally related form,understate verb
domestic fowl noun,hypernym,gallinaceous bird noun
bank noun,hypernym,slope noun
disguise verb,derivationally related form,disguise noun
pleasantness noun,hypernym,quality noun
topical adjective,derivationally related form,subject noun
reserve verb,derivationally related form,reservation noun
switch verb,derivationally related form,switcher noun
complete verb,derivationally related form,ending noun
anger noun,derivationally related form,anger verb
iraq noun,has part,babylonia noun
voice noun,derivationally related form,voice verb
citation noun,derivationally related form,notice verb
papilionoideae noun,member meronym,viminaria noun
floor noun,hypernym,horizontal surface noun
order noun,synset domain topic of,biology noun
attack verb,hypernym,knock verb
withdraw verb,derivationally related form,pullback noun
attestation noun,derivationally related form,attest verb
immunoglobulin a noun,hypernym,immunoglobulin noun
cool noun,derivationally related form,cool verb
draft noun,hypernym,wind noun
shave verb,hypernym,groom verb
invention noun,derivationally related form,fabricate verb
wood meadowgrass noun,hypernym,meadowgrass noun
eliminate verb,derivationally related form,annihilation noun
walk verb,derivationally related form,walk noun
excitement noun,derivationally related form,stimulate verb
childbirth noun,hypernym,parturition noun
firkin noun,hypernym,british capacity unit noun
induce verb,synset domain topic of,physics noun
point system noun,synset domain topic of,industry noun
falsify verb,derivationally related form,disproof noun
addiction noun,hypernym,award noun
pair verb,derivationally related form,pair noun
existentialist noun,hypernym,philosopher noun
ibsen noun,instance hypernym,poet noun
repel verb,hypernym,push verb
leaf noun,derivationally related form,booklet noun
walk-in noun,hypernym,person noun
deplore verb,hypernym,knock verb
celestial sphere noun,derivationally related form,firmamental adjective
insurgent noun,derivationally related form,rebel verb
clank verb,hypernym,sound verb
petition verb,derivationally related form,suer noun
competition noun,hypernym,group action noun
hush noun,derivationally related form,quieten verb
good-king-henry noun,hypernym,goosefoot noun
liechtenstein noun,member meronym,liechtensteiner noun
ejaculation noun,derivationally related form,ejaculate verb
hint noun,hypernym,suggestion noun
spray noun,derivationally related form,spray verb
marchioness noun,hypernym,lady noun
armored personnel carrier noun,hypernym,armored vehicle noun
project verb,hypernym,transmit verb
stroll verb,derivationally related form,amble noun
civil rights leader noun,hypernym,reformer noun
head of household noun,hypernym,head noun
fagaceae noun,member meronym,fagus noun
overcast verb,derivationally related form,cloud noun
specialism noun,derivationally related form,specialist noun
center verb,also see,focus on verb
encapsulate verb,hypernym,enclose verb
pair verb,verb group,pair verb
dwelling noun,has part,family room noun
diachronic adjective,derivationally related form,historical linguistics noun
digestible adjective,also see,edible adjective
liliaceae noun,member meronym,genus alstroemeria noun
barge verb,derivationally related form,barge noun
gastropoda noun,member meronym,neritidae noun
pandionidae noun,hypernym,bird family noun
pull the plug verb,hypernym,discontinue verb
ink-jet printer noun,hypernym,dot matrix printer noun
trim verb,derivationally related form,garnish noun
model verb,derivationally related form,simulation noun
myricales noun,member meronym,leitneriaceae noun
liberation noun,derivationally related form,free verb
examination noun,derivationally related form,quiz verb
bother verb,derivationally related form,annoyance noun
disjoin verb,derivationally related form,disjunction noun
synanceja noun,hypernym,fish genus noun
destroy verb,derivationally related form,destroyer noun
temperature scale noun,hypernym,scale noun
cry verb,derivationally related form,crying noun
gynura noun,member meronym,velvet plant noun
pinnotheridae noun,member meronym,pinnotheres noun
object verb,hypernym,disapprove verb
exhumation noun,hypernym,act noun
tax shelter noun,hypernym,decrease noun
association noun,derivationally related form,associate verb
sciaena noun,member meronym,maigre noun
inactive adjective,derivationally related form,inactiveness noun
abduct verb,derivationally related form,abductor noun
vomitory noun,hypernym,entrance noun
decrease noun,derivationally related form,decrease verb
bomb noun,hypernym,weaponry noun
conveyance noun,derivationally related form,conveyancer noun
bastard wing noun,derivationally related form,alular adjective
vermouth noun,hypernym,wine noun
cnicus noun,hypernym,asterid dicot genus noun
megachiroptera noun,member meronym,fruit bat noun
elaphurus noun,member meronym,pere david's deer noun
tap noun,derivationally related form,tap verb
decentralization noun,hypernym,spread noun
hedgehog noun,hypernym,insectivore noun
motor vehicle noun,has part,hand brake noun
echinocactus noun,hypernym,cactus noun
operation noun,synset domain topic of,commercial enterprise noun
palmae noun,member meronym,phoenix noun
prunellidae noun,hypernym,bird family noun
ecumenical council noun,hypernym,council noun
agra noun,instance hypernym,city noun
homeotherm noun,hypernym,animal noun
atropine noun,hypernym,alkaloid noun
repeat verb,derivationally related form,iteration noun
finch noun,hypernym,oscine noun
double cross noun,derivationally related form,double cross verb
deviation noun,synset domain topic of,statistics noun
united kingdom noun,member of domain region,washbasin noun
safar noun,hypernym,islamic calendar month noun
leucanthemum noun,member meronym,oxeye daisy noun
ineffective adjective,derivationally related form,ineffectiveness noun
hystricomorpha noun,member meronym,dasyproctidae noun
adder noun,derivationally related form,add verb
closer noun,derivationally related form,close up verb
united states air force noun,has part,air force space command noun
hold noun,derivationally related form,restrain verb
pruner noun,hypernym,worker noun
racism noun,hypernym,discrimination noun
force noun,hypernym,physical phenomenon noun
imperialism noun,hypernym,political orientation noun
crepis noun,hypernym,asterid dicot genus noun
methaqualone noun,hypernym,sedative-hypnotic noun
inconstancy noun,derivationally related form,changeable adjective
flacourtiaceae noun,hypernym,dilleniid dicot family noun
quench verb,hypernym,reduce verb
call on the carpet verb,derivationally related form,rebuke noun
dilution noun,hypernym,solution noun
face verb,derivationally related form,lining noun
backsliding noun,derivationally related form,get worse verb
channidae noun,hypernym,class noun
desquamate verb,hypernym,shed verb
commutation noun,derivationally related form,change verb
texas noun,has part,austin noun
limit noun,hypernym,boundary noun
mail verb,derivationally related form,mailing noun
professionalize verb,hypernym,change verb
womanly adjective,derivationally related form,woman noun
revolution noun,hypernym,change noun
french sorrel noun,hypernym,greens noun
wash verb,verb group,wash verb
record player noun,hypernym,machine noun
emphasizing noun,derivationally related form,underscore verb
stroke noun,hypernym,mark noun
deposit verb,derivationally related form,deposit noun
disparagement noun,member of domain usage,kike noun
jainist noun,hypernym,disciple noun
trial noun,derivationally related form,try verb
hatch verb,hypernym,inlay verb
publication noun,has part,cartoon noun
shag rug noun,hypernym,rug noun
hunt noun,hypernym,labor noun
snap verb,derivationally related form,chink noun
deviate verb,derivationally related form,discrepancy noun
galvanizer noun,hypernym,skilled worker noun
general staff noun,hypernym,staff noun
predestination noun,hypernym,theological doctrine noun
tone language noun,hypernym,natural language noun
temper verb,derivationally related form,temper noun
zigzag noun,derivationally related form,zigzag verb
usurpation noun,derivationally related form,assume verb
rule verb,derivationally related form,finding noun
guinea worm noun,hypernym,nematode noun
mahdism noun,derivationally related form,mahdi noun
absorb verb,derivationally related form,concentration noun
gulf of bothnia noun,has part,aland islands noun
bus noun,derivationally related form,bus verb
blower noun,hypernym,device noun
genus cerastes noun,hypernym,reptile genus noun
free verb,derivationally related form,dismissal noun
astroloma noun,member meronym,native cranberry noun
taxidermist noun,derivationally related form,stuff verb
laguncularia noun,hypernym,plant genus noun
operate verb,derivationally related form,operation noun
bone cell noun,hypernym,somatic cell noun
greenville noun,instance hypernym,city noun
wrench verb,derivationally related form,spin noun
john noun,instance hypernym,gospel noun
life noun,hypernym,time period noun
non-euclidean geometry noun,hypernym,geometry noun
pignut noun,hypernym,hickory noun
handcolor verb,synset domain topic of,photography noun
portrayal noun,derivationally related form,impersonate verb
arrival noun,hypernym,traveler noun
promiser noun,hypernym,communicator noun
talmudic literature noun,hypernym,sacred text noun
buff verb,derivationally related form,polish noun
vibrate verb,hypernym,move verb
black noun,hypernym,person of color noun
flood noun,hypernym,flow noun
enumeration noun,derivationally related form,enumerate verb
perturbation noun,hypernym,discomposure noun
bicycle wheel noun,has part,pneumatic tire noun
spotted owl noun,hypernym,owl noun
commune noun,derivationally related form,communize verb
vietnam war noun,instance hypernym,war noun
new brunswick noun,instance hypernym,canadian province noun
cystophora noun,member meronym,hooded seal noun
acrobat noun,hypernym,athlete noun
peronosporales noun,hypernym,fungus order noun
testimony noun,hypernym,evidence noun
run verb,hypernym,succeed verb
amniote noun,hypernym,vertebrate noun
common broom noun,hypernym,broom noun
baku noun,instance hypernym,national capital noun
crown noun,hypernym,dental appliance noun
fluorine noun,hypernym,halogen noun
fitter noun,derivationally related form,suit verb
sapiential book noun,has part,wisdom of solomon noun
prurience noun,hypernym,amorousness noun
answer noun,hypernym,reply noun
numeral noun,derivationally related form,total verb
ideal noun,hypernym,model noun
leadership noun,derivationally related form,leader noun
interpenetrate verb,derivationally related form,permeation noun
success noun,hypernym,prosperity noun
range verb,derivationally related form,array noun
mobilize verb,derivationally related form,mobilization noun
innings noun,hypernym,turn noun
new york noun,has part,lake champlain noun
power system noun,has part,power line noun
walk verb,derivationally related form,walk noun
champion verb,derivationally related form,defender noun
design verb,hypernym,create verb
excavation noun,derivationally related form,excavate verb
hypnotize verb,derivationally related form,mesmer noun
bismarck sea noun,instance hypernym,naval battle noun
dasypus noun,hypernym,mammal genus noun
putrescence noun,hypernym,putrefaction noun
apprenticeship noun,derivationally related form,apprentice noun
peace noun,derivationally related form,pacify verb
conditioning noun,hypernym,learning noun
pay verb,hypernym,requite verb
angiosperm noun,hypernym,spermatophyte noun
weaning noun,derivationally related form,wean verb
stercorariidae noun,member meronym,jaeger noun
genesis noun,derivationally related form,beget verb
tire verb,derivationally related form,fatigue noun
alabama noun,has part,mobile noun
itch verb,derivationally related form,scabies noun
run verb,hypernym,be verb
brazil noun,has part,joao pessoa noun
psilopsida noun,hypernym,class noun
glitter noun,derivationally related form,sparkle verb
siamese cat noun,hypernym,domestic cat noun
interpellation noun,synset domain topic of,parliament noun
gummed label noun,hypernym,label noun
bamboo noun,hypernym,gramineous plant noun
lexicology noun,hypernym,linguistics noun
collectivist noun,derivationally related form,leftism noun
compression noun,derivationally related form,compress verb
twine verb,verb group,intertwine verb
aspersion noun,derivationally related form,defame verb
japan noun,member of domain region,sumo noun
homo noun,has part,face noun
east malaysia noun,instance hypernym,district noun
draw verb,hypernym,kill verb
overlap noun,hypernym,representation noun
africa noun,has part,guinea-bissau noun
make verb,verb group,feign verb
move noun,derivationally related form,relocate verb
epigone noun,hypernym,copycat noun
adjourn verb,hypernym,close up verb
remodel verb,derivationally related form,reconstruction noun
dithyramb noun,hypernym,hymn noun
good satellite adjective,similar to,genuine adjective
cash machine noun,hypernym,machine noun
embothrium noun,member meronym,chilean firebush noun
flag verb,hypernym,decorate verb
quilt noun,derivationally related form,quilt verb
lodging noun,hypernym,residency noun
knit verb,derivationally related form,knit noun
manifesto noun,hypernym,declaration noun
fold noun,hypernym,change of shape noun
increase noun,derivationally related form,increase verb
project verb,derivationally related form,hurl noun
merciless adjective,derivationally related form,cruelty noun
chain noun,synset domain topic of,commercial enterprise noun
absorb verb,derivationally related form,absorption noun
boat noun,hypernym,vessel noun
demand verb,hypernym,claim verb
joint verb,derivationally related form,articulation noun
assurance noun,derivationally related form,pledge verb
leg bone noun,hypernym,long bone noun
elbow noun,has part,musculus articularis cubiti noun
megapodiidae noun,hypernym,bird family noun
date verb,derivationally related form,dating noun
myrmecophagidae noun,hypernym,mammal family noun
think verb,derivationally related form,think noun
speech day noun,hypernym,day noun
malay peninsula noun,member meronym,malay noun
cattle cake noun,hypernym,feed noun
ethacrynic acid noun,hypernym,diuretic drug noun
athletic game noun,has part,playing period noun
wish verb,derivationally related form,wish noun
emaciate verb,hypernym,change state verb
